lat_long,tattoo_500m_rad,bars_500m_rad,cafes_500m_rad,restaurants_500m_rad,parks_500m_rad
"49.261188,-123.066009",0,3,5,35,1
"49.256857,-123.065646",0,1,3,19,4
"49.283986,-123.065264",1,7,7,37,0
"49.257985,-123.083366",0,0,3,10,2
"49.257939,-123.089531",2,4,6,25,2
"49.256496,-123.075426",0,0,1,2,4
"49.283236,-123.070443",1,10,6,30,0
"49.267266,-123.090786",0,0,6,11,2
"49.265242,-123.095577",3,11,17,47,3
"49.265213,-123.090785",0,2,5,19,4
"49.302577,-123.155616",0,0,0,2,0
"49.277595,-123.09583",4,17,22,50,0
"49.279235,-123.087528",1,5,8,16,2
"49.277333,-123.087359",1,6,6,13,2
"49.273103,-123.069892",3,9,15,50,3
"49.261973,-123.09725",3,20,19,50,3
"49.275295,-123.132585",0,12,18,40,7
"49.285871,-123.12105",1,37,50,50,8
"49.284893,-123.128685",0,22,34,45,5
"49.263962,-123.112621",2,9,24,50,2
"49.277615,-123.091654",1,5,9,16,0
"49.282214,-123.114101",5,48,50,50,2
"49.266456,-123.100324",4,11,22,50,5
"49.268216,-123.103168",0,11,17,50,2
"49.284554,-123.111031",5,50,50,50,2
"49.280216,-123.117639",5,50,48,50,3
"49.266314,-123.116011",1,12,21,50,1
"49.280852,-123.084746",1,5,8,13,1
"49.285512,-123.1384",0,11,15,49,3
"49.27821,-123.136972",0,9,7,40,13
"49.281301,-123.139108",0,5,5,37,6
"49.283298,-123.142288",0,9,5,35,3
"49.280787,-123.115271",5,36,50,50,1
"49.266476,-123.109389",2,9,21,50,3
"49.290587,-123.13625",0,2,24,50,6
"49.312568,-123.144177",0,0,1,3,1
"49.262835,-123.152626",0,4,8,19,6
"49.256825,-123.105234",1,7,7,39,5
"49.275683,-123.124388",6,50,32,50,6
"49.263518,-123.09568",3,18,14,50,4
"49.28691,-123.128818",0,14,39,48,4
"49.282503,-123.124697",4,50,45,50,7
"49.283749,-123.136133",0,10,10,35,7
"49.262944,-123.148109",0,6,6,32,4
"49.27029,-123.135025",0,6,18,50,8
"49.280427,-123.074082",2,6,6,27,1
"49.279259,-123.119145",6,50,50,50,5
"49.285836,-123.127265",0,21,39,50,7
"49.272969,-123.164325",0,0,0,0,7
"49.27247,-123.185643",1,2,3,15,2
"49.271471,-123.17731",0,1,1,4,3
"49.290112,-123.127062",0,13,36,46,6
"49.263523,-123.155267",0,4,8,26,5
"49.264928,-123.168068",1,6,16,44,1
"49.264483,-123.173926",1,5,14,50,1
"49.264579,-123.18373",2,4,7,44,1
"49.263746,-123.069892",0,4,11,50,4
"49.258761,-123.127071",0,0,5,11,2
"49.268974,-123.190701",0,2,3,13,0
"49.273011,-123.159663",1,5,2,18,3
"49.266924,-123.173849",0,8,14,50,3
"49.264326,-123.164725",1,1,12,32,2
"49.266636,-123.183661",2,3,7,40,1
"49.254818,-123.114785",1,3,10,40,4
"49.268837,-123.177633",1,3,4,17,3
"49.255034,-123.120226",0,3,9,30,4
"49.271044,-123.170661",0,2,4,15,6
"49.252691,-123.101289",1,6,5,37,4
"49.272172,-123.097978",1,7,13,37,5
"49.271082,-123.191458",0,0,1,4,1
"49.27808,-123.130557",4,29,28,50,8
"49.269969,-123.109623",1,8,11,34,5
"49.287528,-123.142139",0,12,13,44,5
"49.28803,-123.142135",0,12,13,48,6
"49.259579,-123.114769",1,6,19,43,1
"49.2890705989865,-123.138407369468",0,11,26,50,4
"49.287782,-123.12395",0,23,50,50,7
"49.28512,-123.11242",5,47,50,50,3
"49.247854,-123.153422",0,1,1,3,2
"49.265939,-123.1129",2,10,23,49,1
"49.261122,-123.097571",3,19,18,50,3
"49.267725,-123.11311",1,11,15,36,3
"49.245135,-123.116098",0,0,1,2,3
"49.274232,-123.129998",2,24,23,50,7
"49.238105,-123.154966",0,1,16,43,2
"49.246243,-123.124373",0,0,8,9,1
"49.249722,-123.104991",0,7,10,46,1
"49.243375,-123.104978",1,4,6,29,6
"49.282087,-123.056909",2,2,11,42,2
"49.283968,-123.061615",2,3,13,44,2
"49.287464,-123.060771",0,3,2,15,2
"49.285575,-123.061575",0,3,6,23,3
"49.251358,-123.115637",0,3,11,27,4
"49.249184,-123.116141",0,0,3,5,2
"49.245535,-123.120496",0,0,5,6,2
"49.289255,-123.132677",0,8,31,50,7
"49.252656,-123.067965",0,0,3,10,3
"49.277527,-123.129464",5,33,33,50,7
"49.259469,-123.145718",0,2,3,17,2
